iter	Passed	Remaining
639	63476	55541
640	63570	55438
641	63661	55332
642	63752	55225
643	63850	55125
644	63951	55028
645	64074	54949
646	64166	54843
647	64264	54743
648	64356	54638
649	64449	54534
650	64543	54430
651	64639	54328
652	64728	54221
653	64823	54118
654	64912	54011
655	65002	53904
656	65094	53799
657	65186	53694
658	65282	53592
659	65371	53485
660	65468	53385
661	65559	53279
662	65648	53172
663	65735	53063
664	65825	52957
665	65916	52852
666	66009	52748
667	66101	52643
668	66192	52538
669	66312	52456
670	66409	52355
671	66507	52255
672	66615	52163
673	66717	52067
674	66832	51980
675	66936	51885
676	67049	51797
677	67165	51711
678	67264	51612
679	67364	51513
680	67463	51414
681	67564	51317
682	67663	51218
683	67759	51116
684	67867	51024
685	67997	50948
686	68163	50899
687	68309	50835
688	68490	50796
689	68666	50753
690	68790	50672
691	68919	50594
692	69048	50516
693	69172	50433
694	69297	50353
695	69427	50274
696	69550	50192
697	69678	50112
698	69803	50030
699	69934	49952
700	70061	49872
701	70181	49786
702	70304	49702
703	70415	49610
704	70527	49519
705	70640	49428
706	70754	49338
707	70894	49265
708	71005	49172
709	71113	49078
710	71224	48985
711	71348	48901
712	71481	48823
713	71605	48740
714	71718	48648
715	71827	48553
716	71938	48460
717	72050	48368
718	72158	48273
719	72266	48177
720	72378	48084
721	72522	48013
722	72637	47922
723	72752	47831
724	72857	47734
725	72966	47639
726	73095	47557
727	73208	47465
728	73321	47372
729	73435	47280
730	73549	47188
731	73657	47092
732	73763	46995
733	73867	46896
734	73974	46800
735	74082	46704
736	74185	46604
737	74290	46506
738	74398	46411
739	74504	46313
740	74612	46217
741	74716	46118
742	74822	46021
743	74926	45922
744	75034	45826
745	75158	45739
746	75273	45647
747	75412	45570
748	75541	45486
749	75658	45395
750	75763	45296
751	75868	45198
752	75975	45101
753	76082	45003
754	76190	44907
755	76295	44808
756	76402	44711
757	76511	44614
758	76613	44514
759	76718	44415
760	76821	44316
761	76923	44215
762	77028	44116
763	77128	44015
764	77233	43917
765	77335	43816
766	77436	43715
767	77542	43617
768	77653	43522
769	77757	43423
770	77856	43320
771	77957	43219
772	78057	43118
773	78157	43016
774	78259	42916
775	78361	42816
776	78464	42716
777	78572	42619
778	78681	42522
779	78786	42423
780	78895	42326
781	79003	42229
782	79104	42128
783	79209	42029
784	79312	41929
785	79415	41829
786	79520	41730
787	79627	41632
788	79738	41536
789	79872	41453
790	79978	41354
791	80085	41256
792	80190	41157
793	80293	41057
794	80396	40956
795	80506	40860
796	80622	40766
797	80726	40666
798	80837	40570
799	80942	40471
800	81046	40371
801	81152	40272
802	81257	40173
803	81365	40075
804	81475	39978
805	81588	39883
806	81696	39785
807	81799	39684
808	81903	39585
809	82025	39493
810	82162	39409
811	82287	39319
812	82406	39226
813	82542	39141
814	82670	39052
815	82791	38960
816	82932	38877
817	83049	38783
818	83167	38689
819	83282	38594
820	83399	38499
821	83516	38405
822	83645	38316
823	83782	38231
824	83915	38143
825	84042	38053
826	84173	37964
827	84306	37876
828	84427	37783
829	84549	37690
830	84671	37597
831	84799	37507
832	84916	37412
833	85032	37316
834	85152	37222
835	85268	37126
836	85383	37030
837	85498	36933
838	85613	36837
839	85727	36740
840	85840	36642
841	85951	36544
842	86068	36448
843	86182	36351
844	86294	36253
845	86402	36154
846	86513	36055
847	86640	35964
848	86752	35865
849	86863	35767
850	86970	35667
851	87077	35566
852	87192	35469
853	87312	35374
854	87426	35277
855	87559	35187
856	87685	35094
857	87812	35002
858	87918	34901
859	88025	34800
860	88133	34700
861	88239	34599
862	88348	34499
863	88458	34400
864	88565	34299
865	88671	34198
866	88780	34099
867	88908	34006
868	89023	33908
869	89142	33812
870	89261	33716
871	89400	33627
872	89533	33536
873	89655	33441
874	89763	33340
875	89874	33241
876	89980	33140
877	90088	33039
878	90198	32939
879	90306	32838
880	90412	32737
881	90521	32636
882	90633	32537
883	90742	32437
884	90852	32337
885	90958	32235
886	91071	32136
887	91183	32037
888	91290	31936
889	91404	31837
890	91524	31740
891	91653	31647
892	91788	31555
893	91911	31459
894	92024	31360
895	92141	31262
896	92265	31166
897	92388	31070
898	92526	30979
899	92703	30901
900	92854	30813
901	92980	30718
902	93110	30624
903	93238	30529
904	93377	30438
905	93512	30345
906	93656	30255
907	93895	30195
908	94182	30150
909	94358	30070
910	94555	29996
911	94752	29921
912	94992	29860
913	95218	29794
914	95396	29713
915	95639	29652
916	95817	29570
917	95986	29486
918	96149	29399
919	96312	29312
920	96489	29229
921	96662	29145
922	96855	29067
923	97054	28990
924	97240	28909
925	97395	28818
926	97542	28726
927	97675	28629
928	97810	28532
929	97980	28446
930	98128	28353
931	98282	28261
932	98442	28171
933	98603	28081
934	98744	27986
935	98937	27905
936	99069	27807
937	99194	27706
938	99318	27606
939	99441	27504
940	99567	27404
941	99683	27301
942	99801	27199
943	99929	27099
944	100086	27007
945	100218	26908
946	100386	26819
947	100534	26724
948	100711	26636
949	100859	26541
950	100993	26443
951	101117	26341
952	101244	26240
953	101368	26138
954	101485	26035
955	101608	25933
956	101736	25832
957	101866	25732
958	101995	25631
959	102133	25533
960	102266	25433
961	102415	25337
962	102564	25241
963	102733	25150
964	102893	25056
965	103040	24960
966	103175	24860
967	103307	24759
968	103439	24658
969	103581	24560
970	103728	24463
971	103889	24369
972	104058	24276
973	104215	24181
974	104362	24083
975	104496	23982
976	104621	23879
977	104744	23776
978	104882	23676
979	105030	23578
980	105210	23487
981	105352	23387
982	105487	23286
983	105616	23184
984	105736	23079
985	105855	22974
986	105972	22869
987	106089	22764
988	106206	22658
989	106324	22553
990	106444	22449
991	106561	22343
992	106670	22236
993	106782	22129
994	106894	22023
995	107004	21916
996	107114	21809
997	107249	21707
998	107373	21603
999	107503	21500
1000	107627	21396
1001	107738	21289
1002	107858	21184
1003	107968	21077
1004	108078	20970
1005	108190	20863
1006	108302	20757
1007	108416	20650
1008	108523	20543
1009	108630	20435
1010	108735	20327
1011	108843	20219
1012	108950	20112
1013	109056	20004
1014	109164	19897
1015	109270	19789
1016	109375	19681
1017	109499	19576
1018	109607	19469
1019	109716	19361
1020	109825	19254
1021	109928	19146
1022	110030	19037
1023	110141	18930
1024	110260	18825
1025	110365	18716
1026	110469	18608
1027	110574	18500
1028	110678	18392
1029	110784	18284
1030	110889	18176
1031	110993	18068
1032	111098	17960
1033	111202	17852
1034	111308	17744
1035	111412	17636
1036	111519	17529
1037	111619	17420
1038	111733	17313
1039	111836	17205
1040	111948	17098
1041	112053	16990
1042	112156	16882
1043	112261	16774
1044	112364	16666
1045	112468	16558
1046	112570	16450
1047	112674	16342
1048	112777	16233
1049	112879	16125
1050	112981	16017
1051	113083	15909
1052	113185	15800
1053	113286	15692
1054	113386	15583
1055	113487	15475
1056	113588	15367
1057	113688	15258
1058	113790	15150
1059	113899	15043
1060	114012	14936
1061	114116	14828
1062	114222	14721
1063	114327	14613
1064	114432	14505
1065	114538	14397
1066	114639	14289
1067	114741	14181
1068	114843	14073
1069	114946	13965
1070	115050	13857
1071	115155	13749
1072	115260	13642
1073	115363	13534
1074	115467	13426
1075	115574	13319
1076	115675	13210
1077	115776	13102
1078	115876	12994
1079	115977	12886
1080	116078	12778
1081	116199	12672
1082	116298	12564
1083	116402	12456
1084	116506	12348
1085	116614	12241
1086	116714	12133
1087	116817	12025
1088	116920	11917
1089	117023	11809
1090	117122	11701
1091	117225	11593
1092	117326	11485
1093	117427	11377
1094	117530	11270
1095	117639	11162
1096	117741	11054
1097	117847	10947
1098	117958	10840
1099	118064	10733
1100	118168	10625
1101	118273	10517
1102	118432	10415
1103	118540	10307
1104	118644	10200
1105	118749	10092
1106	118851	9984
1107	118956	9877
1108	119062	9769
1109	119166	9662
1110	119270	9554
1111	119372	9446
1112	119486	9339
1113	119588	9232
1114	119692	9124
1115	119792	9016
1116	119893	8908
1117	119995	8801
1118	120099	8693
1119	120201	8585
1120	120305	8478
1121	120410	8370
1122	120513	8263
1123	120628	8156
1124	120726	8048
1125	120828	7940
1126	120929	7833
1127	121028	7725
1128	121127	7617
1129	121227	7509
1130	121327	7401
1131	121439	7294
1132	121540	7187
1133	121641	7079
1134	121746	6972
1135	121859	6865
1136	121970	6758
1137	122072	6650
1138	122178	6543
1139	122291	6436
1140	122398	6329
1141	122509	6222
1142	122613	6114
1143	122714	6007
1144	122833	5900
1145	122948	5793
1146	123051	5685
1147	123156	5578
1148	123257	5470
1149	123360	5363
1150	123463	5256
1151	123566	5148
1152	123670	5041
1153	123774	4933
1154	123878	4826
1155	123978	4718
1156	124082	4611
1157	124183	4504
1158	124285	4396
1159	124387	4289
1160	124489	4181
1161	124589	4074
1162	124690	3966
1163	124764	3858
1164	124866	3751
1165	124969	3644
1166	125094	3537
1167	125216	3430
1168	125338	3323
1169	125457	3216
1170	125562	3109
1171	125667	3002
1172	125775	2895
1173	125879	2787
1174	125985	2680
1175	126087	2573
1176	126195	2466
1177	126298	2358
1178	126401	2251
1179	126505	2144
1180	126608	2036
1181	126709	1929
1182	126808	1822
1183	126909	1714
1184	127008	1607
1185	127129	1500
1186	127238	1393
1187	127355	1286
1188	127465	1179
1189	127568	1072
1190	127671	964
1191	127775	857
1192	127877	750
1193	127982	643
1194	128086	535
1195	128197	428
1196	128300	321
1197	128403	214
1198	128511	107
1199	128616	0
