iter	RMSE
0	188.0583367
1	186.6756308
2	185.4048229
3	184.1709572
4	183.0813629
5	181.8420501
6	180.7241659
7	179.6978949
8	178.63141
9	177.591568
10	176.5069078
11	175.380352
12	174.4103662
13	173.6360532
14	172.7589484
15	171.8384402
16	170.9878852
17	170.176211
18	169.3666245
19	168.5014494
20	167.6647013
21	166.8458296
22	166.0637459
23	165.3735048
24	164.6869086
25	163.9644221
26	163.2325403
27	162.5441985
28	161.8568514
29	161.2683679
30	160.6763989
31	160.174123
32	159.5538955
33	158.9797155
34	158.4001956
35	157.8119362
36	157.2514018
37	156.6704129
38	156.1242623
39	155.644667
40	155.2737901
41	154.7716176
42	154.1856389
43	153.6735907
44	153.2070716
45	152.7932362
46	152.3835045
47	151.9298966
48	151.4894211
49	151.0238624
50	150.581593
51	150.1814453
52	149.8204942
53	149.3819055
54	149.0726392
55	148.6926515
56	148.2767609
57	147.9045583
58	147.5021256
59	147.1218133
60	146.7679792
61	146.3679417
62	146.0245072
63	145.7041857
64	145.4241697
65	145.0932908
66	144.8157139
67	144.4480954
68	144.1842564
69	143.8936554
70	143.5719967
71	143.2715885
72	143.011569
73	142.6889813
74	142.4097982
75	142.1721307
76	141.9039898
77	141.6481243
78	141.4166925
79	141.1243772
80	140.9210541
81	140.6972836
82	140.3893138
83	140.153143
84	139.8694226
85	139.6687928
86	139.33113
87	139.1227792
88	138.7985472
89	138.518677
90	138.2891277
91	138.0878713
92	137.8855985
93	137.6415826
94	137.4458859
95	137.246273
96	137.0584548
97	136.8102134
98	136.5948732
99	136.3522424
100	136.1726642
101	135.9234878
102	135.6654788
103	135.5157725
104	135.2501241
105	135.0884534
106	134.8887142
107	134.6722552
108	134.478592
109	134.2984161
110	134.1543062
111	133.9471028
112	133.6957909
113	133.4601689
114	133.2276721
115	133.0498979
116	132.8940436
117	132.693084
118	132.505472
119	132.2939752
120	132.1622755
121	132.0494022
122	131.8328432
123	131.7142047
124	131.5266372
125	131.339814
126	131.20072
127	131.0612073
128	130.7974439
129	130.7125
130	130.5375342
131	130.3920813
132	130.1976321
133	129.9789314
134	129.7270784
135	129.5888529
136	129.4253265
137	129.1652688
138	128.9274371
139	128.7761214
140	128.6293863
141	128.4250096
142	128.2421445
143	127.9920597
144	127.9047679
145	127.7577928
146	127.509235
147	127.3338807
148	127.153973
149	126.9466001
150	126.7805717
151	126.6188671
152	126.3677984
153	126.261561
154	126.0988609
155	125.8340856
156	125.7152439
157	125.59178
158	125.4447716
159	125.3141604
160	125.1741444
161	125.005579
162	124.9187993
163	124.7113015
164	124.566104
165	124.4103941
166	124.1974423
167	124.0637361
168	123.9386782
169	123.9051848
170	123.732091
171	123.6269008
172	123.5179766
173	123.3071859
174	123.1460523
175	123.0423582
176	122.8724064
177	122.7131486
178	122.577903
179	122.4751429
180	122.4206336
181	122.3957099
182	122.2999781
183	122.2270873
184	122.0313177
185	121.9070014
186	121.8091698
187	121.6409534
